first_quarter,second_quarter,third_quarter,fourth_quarter,Year
IBM,Google,Google,Walmart,2013
Nestlé,Chevron Corporation,Chevron Corporation,Hoffmann-La Roche,2013
Chevron Corporation,ICBC,Hoffmann-La Roche,Chevron Corporation,2013
Apple,Apple,Apple,Apple,2012
ExxonMobil,ExxonMobil,ExxonMobil,ExxonMobil,2012
PetroChina,PetroChina,PetroChina,PetroChina,2012
Microsoft,Microsoft,Microsoft,BHP Billiton,2012
IBM,Walmart,Walmart,ICBC,2012
ICBC,IBM,General Electric,China Mobile,2012
Royal Dutch Shell,General Electric,IBM,Walmart,2012
China Mobile,China Mobile,Chevron Corporation,Samsung Electronics,2012
General Electric,Royal Dutch Shell,China Mobile,Microsoft,2012
Chevron Corporation,ICBC,Royal Dutch Shell,Royal Dutch Shell,2012
ExxonMobil,ExxonMobil,Apple,ExxonMobil,2011
PetroChina,Apple,ExxonMobil,Apple,2011
Apple,PetroChina,PetroChina,PetroChina,2011
ICBC,ICBC,IBM,Royal Dutch Shell,2011
Petrobras,BHP Billiton,Microsoft,ICBC,2011
BHP Billiton,Royal Dutch Shell,ICBC,Microsoft,2011
China Construction Bank,Microsoft,China Mobile,IBM,2011
Royal Dutch Shell,Nestlé,Royal Dutch Shell,Chevron Corporation,2011
Chevron Corporation,Petrobras,Nestlé,Walmart,2011
Microsoft,IBM,Chevron Corporation,China Mobile,2011
PetroChina,ExxonMobil,ExxonMobil,ExxonMobil,2010
ExxonMobil,PetroChina,PetroChina,PetroChina,2010
Microsoft,Apple,Apple,Apple,2010
ICBC,ICBC,Petrobras,BHP Billiton,2010
Apple,Microsoft,ICBC,Microsoft,2010
BHP Billiton,China Mobile,Microsoft,ICBC,2010
Walmart,Berkshire Hathaway,China Mobile,Petrobras,2010
Berkshire Hathaway,China Construction Bank,Berkshire Hathaway,China Construction Bank,2010
General Electric,Walmart,China Construction Bank,Royal Dutch Shell,2010
China Mobile,Procter & Gamble,BHP Billiton,Nestlé,2010
ExxonMobil,PetroChina,ExxonMobil,PetroChina,2009
PetroChina,ExxonMobil,PetroChina,ExxonMobil,2009
Walmart,ICBC,ICBC,Microsoft,2009
ICBC,Microsoft,Microsoft,ICBC,2009
China Mobile,China Mobile,HSBC,Walmart,2009
Microsoft,Walmart,China Mobile,China Construction Bank,2009
AT&T,China Construction Bank,Walmart,BHP Billiton,2009
Johnson & Johnson,Petrobras,Petrobras,HSBC,2009
Royal Dutch Shell,Johnson &amp; Johnson,China Construction Bank,Petrobras,2009
Procter & Gamble,Royal Dutch Shell,Royal Dutch Shell,Apple,2009
ExxonMobil,ExxonMobil,ExxonMobil,ExxonMobil,2008
PetroChina,PetroChina,PetroChina,PetroChina,2008
General Electric,ICBC,ICBC,Walmart,2008
Gazprom,Microsoft,Microsoft,China Mobile,2008
China Mobile,China Mobile,HSBC,Procter & Gamble,2008
ICBC,Walmart,China Mobile,ICBC,2008
Microsoft,China Construction Bank,Walmart,Microsoft,2008
AT&T,Petrobras,Petrobras,AT&T,2008
Royal Dutch Shell,Johnson &amp; Johnson,China Construction Bank,Johnson & Johnson,2008
Procter & Gamble,Royal Dutch Shell,Royal Dutch Shell,General Electric,2008
ExxonMobil,ExxonMobil,ExxonMobil,Petrochina,2007
General Electric,General Electric,General Electric,ExxonMobil,2007
Microsoft,Microsoft,China Mobile,General Electric,2007
Citigroup,Royal Dutch Shell,ICBC,China Mobile,2007
AT&T,AT&amp;T,Microsoft,ICBC,2007
Gazprom,Citigroup,Royal Dutch Shell,Microsoft,2007
Toyota,Gazprom,Gazprom,Gazprom,2007
Bank of America,BP,AT&amp;T,Royal Dutch Shell,2007
ICBC,Toyota,Citigroup,AT&amp;T,2007
Royal Dutch Shell,Bank of America,Bank of America,Sinopec,2007
ExxonMobil,ExxonMobil,ExxonMobil,ExxonMobil,2006
General Electric,General Electric,General Electric,General Electric,2006
Microsoft,Gazprom,Microsoft,Microsoft,2006
Citigroup,Citigroup,Gazprom,Citigroup,2006
BP,Microsoft,Citigroup,Gazprom,2006
Bank of America,BP,Bank of America,ICBC,2006
Royal Dutch Shell,Royal Dutch Shell,Royal Dutch Shell,Toyota,2006
Walmart,Bank of America,BP,Bank of America,2006
Toyota,HSBC,HSBC,Royal Dutch Shell,2006
Gazprom,Walmart,Pfizer,BP,2006
